GP,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,累積前三隊,勝率,DFG_percent,DIFF_percent,Player,Team,當年有無入選,position,Final_Position,是否首次入選,C,C-F,F,F-C,F-G,G,G-F
1.1302722771468297,1.5229313633135546,0.2886774424265238,1.848957207519333,4.014436224061073,3.2028714342308646,-0.01985769550999062,4.373420393543611,0.3967886109753428,5.771062723143074,0.7481871293101287,0.21160850567499467,1.4368970471244926,1.189133076084026,3.1601760185957852,4.11829456538588,2.9325618536713174,1.2078680067107022,1.8930776888337253,3.4970892002611187,2.2089599408928926,3.0544882788257683,1.5309438895463234,5.0902343848612706,0.8257010799488305,-0.16135176941936943,-0.21737340993234558,James Harden,HOU,1,G,G,0,0,0,0,0,0,1,0
0.6385082821683933,-0.09376631929500358,1.246568607586409,1.794022947132403,3.416390016913857,3.3292815244796947,0.08288894445372921,2.5664997444597355,0.3827935763338672,3.5715106034121025,0.6348322834001667,0.07785355154508256,0.25616077516988767,0.217554492090217,2.3649832055197515,2.7720009018829193,1.4314263167220138,-0.006955094088545356,0.5340417194181579,2.530527999888099,0.5244557697504538,-0.15303047489107058,-1.086562108818652,-0.20024393117305492,-0.7047039535288406,0.4187396691792553,0.4590490885196629,Bradley Beal,WAS,0,G,G,0,0,0,0,0,0,1,0
1.040860641696205,0.8200193273967902,0.9272715525331139,1.9588257282931931,3.3376997264997494,2.8025728151095675,0.15761377351825237,3.379614036547479,0.7186744077292774,3.45574470237363,0.8615419752200907,-0.45716626497456603,0.5245099278868434,0.2580369330899589,3.4441734518372256,2.1600492366543,1.1812370605637967,-0.24991971424839496,-0.0837019030434641,2.718470455516186,1.84799476136237,0.6488492135381392,0.5451299421101637,3.326741612849829,0.11515588583419746,0.37039871596270324,0.29239427006047247,Damian Lillard,POR,1,G,G,0,0,0,0,0,0,1,0
0.7726257353443304,-0.23434872647835647,1.6456899264030278,1.7171149825907006,3.2747474941684636,2.8868462086087883,-0.08524192094144822,3.0634029229578013,0.43877371489976913,4.323988960162172,0.7235447715036152,-0.45716626497456603,0.4708400973434524,0.2580369330899589,4.182566778264971,4.485465564523052,1.1812370605637967,-0.735848954568094,-0.0837019030434641,2.6468733295626294,2.930890299953938,1.450728901967349,-1.188542862001703,-0.20024393117305492,-0.9779905666498533,0.4380760504658757,0.6649168054398396,Trae Young,ATL,0,G,G,0,0,0,0,0,0,1,0
0.9067431885202677,2.0852609920469662,-0.7490379864966851,1.1787592307987862,3.259009436085642,2.6550943764859323,0.9982681004941408,0.8950981440571508,0.0399152276177196,4.729169613796824,-0.3952182729120977,1.8166679552339404,4.60341704918457,4.02290394606597,2.080985772278311,3.1391719010200902,0.9310478044055793,1.4508326268705516,1.6459802398490768,3.4523409965401455,6.299898642238816,3.0544882788257683,3.7745204595734454,2.444995226844108,1.8095328871844762,-1.688925891062415,-1.766282899141293,Giannis Antetokounmpo,MIL,1,F,F,0,0,0,1,0,0,0,0
0.8173315530696429,1.0308929381718195,0.2886774424265238,1.5303384972751388,3.148843029505892,2.8447095118591785,0.15761377351825237,2.79236482559522,0.1238854354665723,4.266106009642935,0.2208406722507397,0.6128733680647311,2.8323126412526616,2.322641424076804,3.898569345023531,3.8735138992944327,0.9310478044055793,-0.4928843344082444,0.9046878928951306,3.11225464826075,4.254429291565854,13.478924228405495,1.4969503051519728,-0.20024393117305492,0.6070717894520201,0.051348424733459234,0.08652655314029593,Luka Doncic,DAL,1,F-G,G,1,0,0,0,0,1,0,0
-1.0156069736681657,-0.9372607623951209,-0.7490379864966851,1.4534305327334365,2.9285102163463903,2.8868462086087883,0.2977228280142338,1.9792505335074757,0.6696917864841133,1.8929050383542554,1.0291100083043827,0.34536345980490696,0.6855194195170167,0.6223789020876375,2.5353816654646164,1.792878237517129,1.9318048290384482,0.2360095260713041,1.1517853418797797,2.5126287183997102,-0.07715286280041707,0.6488492135381392,-0.03276099259379185,1.5632488408383869,-0.43141734040782775,0.27371680952959915,0.47865553775015596,Kyrie Irving,BKN,0,G,G,0,0,0,0,0,0,1,0
0.6385082821683933,1.0308929381718195,-0.030619612626771233,1.794022947132403,2.897034100180748,3.245008130980475,0.24167920621584174,0.4433679817861819,-0.28197056913621477,2.8190322466620334,0.2454830300572532,1.281648138714292,1.8125858609282306,1.715404809080673,2.8761785853543445,4.11829456538588,2.4321833413548832,-0.006955094088545356,2.140175137818374,2.754269018492965,2.2089599408928926,6.262007032542607,0.8510722016593169,6.853727156872712,0.8257010799488305,-0.21936091327923204,-0.17816051147135958,Russell Westbrook,HOU,1,G,G,0,0,0,0,0,0,1,0
0.6385082821683933,1.3823489561302018,-0.42974093144339004,1.3984962723465064,2.8812960420979263,2.697231073235542,0.22299799894971062,1.3468283063281197,0.5577315093523099,3.0505640487389774,0.8516850320974851,0.07785355154508256,1.7589160303848392,1.3915452810827362,1.6833893657402947,1.792878237517129,2.9325618536713174,0.4789741462311536,0.28694427043350895,2.62897404807424,1.1260644023013249,0.6488492135381392,2.9586744341090374,2.444995226844108,1.3176169835666531,0.2833850001729097,0.08652655314029593,Kawhi Leonard,LAC,1,F,F,0,0,0,1,0,0,0,0
1.2196839125974546,0.8903105309884667,1.1667443438230851,1.7830360950550168,2.802605751683819,2.360137499238661,0.40046946797795363,1.3468283063281197,0.38979109365460496,3.1663299497774497,1.0143245936204748,-0.5909212191044781,0.5245099278868434,0.217554492090217,2.592181152112904,3.261562234065814,0.18048003593092754,-0.24991971424839496,1.5224315153567525,2.020398477469006,0.8854209492809765,-0.15303047489107058,0.7490914484762657,-0.20024393117305492,0.06049856320999488,0.2157076656697365,0.22377169775374697,Devin Booker,PHX,0,G,G,0,0,0,0,0,0,1,0
