Player,Team,AGE,GP,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率,position,DFG_percent,DIFF_percent,Pos,Final_Position,是否首次入選
James Harden,HOU,28,72,59,13,35.4,30.4,20.1,44.9,10.0,36.7,10.1,85.8,0.6,4.8,5.4,8.8,4.4,1.8,0.7,2.3,53.0,31,4,7.3,2018,4,True,0.82,G,57.9,1.5,G,G,False
Anthony Davis,NOP,25,75,45,30,36.4,28.1,19.5,53.4,2.2,34.0,8.0,82.8,2.5,8.6,11.1,2.3,2.2,1.5,2.6,2.1,55.1,50,1,3.9,2018,2,True,0.6,F-C,48.8,-8.4,F,F,False
LeBron James,CLE,33,82,50,32,36.9,27.5,19.3,54.2,5.0,36.7,6.5,73.1,1.2,7.5,8.6,9.1,4.2,1.4,0.9,1.7,54.1,52,18,1.3,2018,13,True,0.61,F-G,49.5,-7.1,F,F,False
Damian Lillard,POR,27,73,44,29,36.6,26.9,19.4,43.9,8.6,36.1,7.4,91.6,0.8,3.6,4.5,6.6,2.8,1.1,0.4,1.6,43.6,11,0,4.7,2018,2,True,0.6,G,50.0,-4.7,G,G,False
Giannis Antetokounmpo,MIL,23,75,39,36,36.7,26.9,18.7,52.9,1.9,30.7,8.5,76.0,2.1,8.0,10.0,4.8,3.0,1.5,1.4,3.1,51.7,42,1,2.0,2018,1,True,0.52,F,50.6,-6.4,F,F,False
Stephen Curry,GSW,30,51,41,10,32.0,26.4,16.9,49.5,9.8,42.3,5.9,92.1,0.7,4.4,5.1,6.1,3.0,1.6,0.2,2.2,43.8,5,0,9.5,2018,4,True,0.8,G,60.3,5.8,G,G,False
Kevin Durant,GSW,29,68,49,19,34.2,26.4,18.0,51.6,6.1,41.9,5.9,88.9,0.5,6.4,6.8,5.4,3.0,0.7,1.8,2.0,47.0,15,2,5.2,2018,7,True,0.72,F,52.9,-4.3,F,F,False
Russell Westbrook,OKC,29,80,47,33,36.4,25.4,21.1,44.9,4.1,29.8,7.1,73.7,1.9,8.2,10.1,10.3,4.8,1.8,0.3,2.5,54.3,59,25,4.8,2018,6,True,0.59,G,59.7,2.8,G,G,False
DeMarcus Cousins,NOP,27,48,27,21,36.2,25.2,18.0,47.0,6.1,35.4,8.2,74.6,2.2,10.7,12.9,5.4,5.0,1.6,1.6,3.8,53.3,38,3,1.6,2018,2,False,0.56,C,51.5,-5.8,,C,False
Devin Booker,PHX,21,54,16,38,34.5,24.9,19.5,43.2,7.1,38.3,6.1,87.8,0.5,4.0,4.5,4.7,3.6,0.9,0.3,3.1,37.2,4,0,-6.6,2018,0,False,0.3,G,62.5,7.2,,G,False
Kyrie Irving,BOS,26,60,41,19,32.2,24.4,18.1,49.1,6.8,40.8,4.4,88.9,0.6,3.2,3.8,5.1,2.3,1.1,0.3,2.0,38.4,1,0,4.3,2018,1,False,0.68,G,60.6,4.7,,G,False
LaMarcus Aldridge,SAS,32,75,45,30,33.4,23.1,18.0,51.0,1.2,29.3,5.3,83.7,3.3,5.2,8.5,2.0,1.5,0.6,1.2,2.1,40.2,27,0,3.7,2018,4,True,0.6,F,49.4,-7.8,F,F,False
Victor Oladipo,IND,26,75,48,27,34.0,23.1,17.9,47.7,5.8,37.1,4.9,79.9,0.6,4.6,5.2,4.3,2.9,2.4,0.8,2.3,42.3,3,0,4.5,2018,0,True,0.64,G,55.5,-0.2,G,G,True
DeMar DeRozan,TOR,28,80,57,23,33.9,23.0,17.7,45.6,3.6,31.0,7.0,82.5,0.7,3.2,3.9,5.2,2.2,1.1,0.3,1.9,37.4,0,0,5.5,2018,1,True,0.71,G,54.3,-1.6,G,G,False
Joel Embiid,PHI,24,63,41,22,30.4,22.9,16.8,48.3,3.4,30.8,7.4,76.9,2.3,8.7,11.0,3.2,3.7,0.6,1.8,3.3,44.3,38,0,7.7,2018,0,True,0.65,C,47.9,-9.3,C,C,True
Kristaps Porzingis,NYK,22,48,22,26,32.4,22.7,18.5,43.9,4.8,39.5,5.7,79.3,1.3,5.3,6.6,1.2,1.9,0.8,2.4,2.9,39.8,5,0,0.3,2018,0,False,0.46,F-C,48.3,-8.9,,F-C,False
Bradley Beal,WAS,25,82,43,39,36.3,22.6,18.1,46.0,6.5,37.5,4.5,79.1,0.7,3.7,4.4,4.5,2.6,1.2,0.4,2.0,37.0,4,0,2.2,2018,0,False,0.52,G,58.2,2.3,,G,False
Lou Williams,LAC,31,79,42,37,32.8,22.6,16.9,43.5,6.6,35.9,6.2,88.0,0.5,2.0,2.5,5.3,3.0,1.1,0.2,1.3,34.5,7,0,1.5,2018,0,False,0.53,G,59.9,3.9,,G,False
Jimmy Butler,MIN,28,59,37,22,36.7,22.2,15.6,47.4,3.4,35.0,7.2,85.4,1.3,4.0,5.3,4.9,1.8,2.0,0.4,1.3,41.1,3,0,6.3,2018,1,True,0.63,G,58.4,1.7,G,G,False
Kemba Walker,CHA,28,80,36,44,34.2,22.1,17.0,43.1,7.5,38.4,5.3,86.4,0.4,2.7,3.1,5.6,2.2,1.1,0.3,1.2,36.2,3,0,2.6,2018,0,False,0.45,G,57.0,1.5,,G,False
Paul George,OKC,28,79,47,32,36.6,21.9,17.0,43.0,7.7,40.1,5.2,82.2,0.9,4.7,5.7,3.3,2.7,2.0,0.5,2.9,38.6,4,0,2.9,2018,3,True,0.59,F,61.7,4.3,F,F,False
Blake Griffin,DET,29,58,28,30,34.0,21.4,17.2,43.8,5.6,34.5,5.7,78.5,1.3,6.1,7.4,5.8,2.8,0.7,0.3,2.4,39.1,16,3,1.0,2018,4,False,0.48,F,56.5,-0.7,,F,False
CJ McCollum,POR,26,81,48,33,36.1,21.4,18.6,44.3,5.9,39.7,3.1,83.6,0.7,3.3,4.0,3.4,1.9,1.0,0.4,2.1,33.5,1,0,1.5,2018,0,False,0.59,G,51.3,-4.3,,G,False
Karl-Anthony Towns,MIN,22,82,47,35,35.6,21.3,14.3,54.5,3.5,42.1,4.9,85.8,2.9,9.4,12.3,2.4,1.9,0.8,1.4,3.5,44.3,68,0,4.5,2018,0,True,0.57,C,57.3,-0.5,F,F,True
Donovan Mitchell,UTA,21,79,46,33,33.4,20.5,17.2,43.7,7.0,34.0,3.8,80.5,0.7,3.1,3.7,3.7,2.7,1.5,0.3,2.7,33.3,0,0,4.5,2018,0,False,0.58,G,53.5,-2.8,,G,False
