Player,Team,AGE,GP,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率,position,DFG_percent,DIFF_percent,Pos,Final_Position,是否首次入選
Jalen McDaniels,CHA,24,55,34,21,16.3,6.2,4.6,48.4,2.0,38.0,1.3,73.6,0.7,2.4,3.1,1.1,0.7,0.5,0.4,1.7,13.4,1,0,0.8,2022,0,False,0.62,F-C,58.0,-1.0,,F-C,False
Jose Alvarado,NOP,24,54,25,29,15.4,6.1,5.4,44.6,2.0,29.1,1.0,67.9,0.5,1.4,1.9,2.8,0.7,1.3,0.1,1.4,16.1,1,0,2.6,2022,0,False,0.46,G,61.3,3.8,,G,False
Nemanja Bjelica,GSW,33,71,48,23,16.1,6.1,4.8,46.8,2.1,36.2,1.1,72.8,0.9,3.3,4.1,2.2,1.2,0.6,0.4,1.8,16.0,3,0,1.8,2022,0,False,0.68,F,56.4,-2.2,,F,False
Lamar Stevens,CLE,24,63,35,28,16.1,6.1,5.1,48.9,1.0,27.7,1.2,70.7,0.7,1.9,2.6,0.7,0.7,0.5,0.3,1.7,11.9,0,0,-0.6,2022,0,False,0.56,F,56.0,-2.2,,F,False
Tristan Thompson,CHI,31,57,20,37,15.7,6.0,4.7,52.8,0.1,33.3,2.0,52.6,2.1,2.9,5.1,0.6,0.8,0.4,0.4,1.7,14.5,1,0,-1.1,2022,0,False,0.35,C-F,55.5,-4.1,,C-F,False
Alex Len,SAC,28,39,17,22,15.9,6.0,4.5,53.4,0.5,28.6,1.6,65.1,1.3,2.8,4.1,1.2,1.1,0.3,0.6,2.6,14.5,2,0,-1.9,2022,0,False,0.44,C,56.7,-3.9,,C,False
Austin Rivers,DEN,29,67,41,26,22.1,6.0,5.2,41.7,3.4,34.2,0.7,72.7,0.3,1.4,1.7,1.3,0.8,0.8,0.1,1.8,11.8,0,0,0.8,2022,0,False,0.61,G,60.6,3.0,,G,False
Kevon Looney,GSW,26,82,53,29,21.1,6.0,4.4,57.1,0.0,0.0,1.5,60.0,2.5,4.7,7.3,2.0,0.8,0.6,0.6,2.6,20.6,5,0,2.0,2022,0,False,0.65,F,56.1,-4.0,,F,False
Tre Jones,SAS,22,69,32,37,16.6,6.0,4.9,49.0,0.7,19.6,1.3,78.0,0.4,1.8,2.2,3.4,0.7,0.6,0.1,1.1,15.2,3,0,-0.2,2022,0,False,0.46,G,58.8,2.2,,G,False
Quentin Grimes,NYK,21,46,21,25,17.1,6.0,5.1,40.4,4.1,38.1,0.4,68.4,0.5,1.5,2.0,1.0,0.6,0.7,0.2,1.6,12.0,0,0,-1.2,2022,0,False,0.46,G,57.1,-0.6,,G,False
Kessler Edwards,BKN,21,48,22,26,20.6,5.9,5.6,41.2,2.8,35.3,0.4,84.2,0.9,2.7,3.6,0.6,0.9,0.6,0.5,1.8,13.6,1,0,-1.3,2022,0,False,0.46,F,60.9,2.2,,F,False
Danuel House Jr.,UTA,28,42,18,24,17.3,5.9,4.7,40.4,2.8,37.6,1.4,75.9,0.4,2.2,2.6,1.0,0.8,0.5,0.4,1.2,12.6,0,0,1.5,2022,0,False,0.43,F-G,57.8,-0.1,,F-G,False
Danny Green,PHI,34,62,37,25,21.8,5.9,5.2,39.4,4.4,38.0,0.2,78.6,0.5,2.0,2.5,1.0,0.7,1.0,0.6,1.7,14.5,0,0,1.3,2022,0,False,0.6,G,59.4,1.7,,G,False
Kira Lewis Jr.,NOP,21,24,6,18,14.2,5.9,6.1,40.4,2.4,22.4,0.5,83.3,0.4,1.3,1.6,2.0,1.1,0.5,0.0,0.7,11.3,0,0,-4.5,2022,0,False,0.25,G,62.7,5.2,,G,False
CJ Elleby,POR,21,58,17,41,20.2,5.8,5.3,39.3,2.2,29.4,1.4,71.4,1.1,2.8,3.9,1.5,1.0,0.6,0.3,2.0,14.6,0,0,-6.0,2022,0,False,0.29,F-G,53.8,-3.9,,F-G,False
Bismack Biyombo,PHX,29,36,30,6,14.1,5.8,4.0,59.3,0.0,0.0,2.0,53.5,1.8,2.9,4.6,0.6,0.7,0.3,0.7,1.9,14.8,6,0,1.4,2022,0,False,0.83,C,58.9,-0.6,,C,False
Luka Garza,DET,23,32,3,29,12.2,5.8,4.6,44.9,1.5,32.7,1.9,62.3,1.8,1.3,3.1,0.6,0.6,0.3,0.2,1.7,11.3,2,0,-2.0,2022,0,False,0.09,C,65.9,5.1,,C,False
Xavier Moon,LAC,27,10,7,3,13.7,5.8,5.1,49.0,1.4,35.7,0.5,60.0,0.2,1.2,1.4,2.4,0.6,0.7,0.3,0.9,13.5,0,0,0.2,2022,0,False,0.7,G,42.9,-14.9,,G,False
Cassius Stanley,DET,22,9,3,6,17.2,5.8,5.1,41.3,1.9,23.5,1.1,100.0,0.6,1.6,2.1,0.4,0.7,0.6,0.2,1.9,10.6,0,0,-1.7,2022,0,False,0.33,G,44.4,-8.4,,G,False
Joshua Primo,SAS,19,50,22,28,19.3,5.8,5.4,37.4,2.7,30.7,1.2,74.6,0.6,1.6,2.3,1.6,1.1,0.4,0.5,1.6,12.3,0,0,-1.6,2022,0,False,0.44,G,51.7,-5.5,,G,False
Eric Paschall,UTA,25,58,36,22,12.7,5.8,4.1,48.5,1.9,37.0,1.5,76.7,0.5,1.3,1.8,0.6,0.5,0.2,0.1,0.9,9.1,0,0,-0.5,2022,0,False,0.62,F,62.7,4.5,,F,False
Carsen Edwards,DET,24,4,1,3,19.8,5.8,7.5,30.0,4.0,25.0,0.3,100.0,0.5,1.0,1.5,3.5,1.3,0.5,0.0,1.0,13.1,0,0,-3.0,2022,0,False,0.25,G,72.7,9.3,,G,False
Matisse Thybulle,PHI,25,66,43,23,25.5,5.7,4.5,50.0,2.2,31.3,0.7,79.1,0.6,1.7,2.3,1.1,0.6,1.7,1.1,2.4,18.1,0,0,1.3,2022,0,False,0.65,G-F,54.2,-2.6,,G-F,False
Justise Winslow,POR,26,48,24,24,16.1,5.7,5.4,42.8,1.4,22.7,1.4,59.1,1.0,3.2,4.2,1.8,1.0,0.7,0.5,1.4,16.1,2,0,0.6,2022,0,False,0.5,F-G,49.7,-8.1,,F-G,False
Kelan Martin,BOS,26,30,14,16,15.0,5.7,5.7,40.9,2.5,29.3,0.4,69.2,0.6,1.3,1.8,0.7,0.5,0.4,0.3,1.2,10.7,0,0,-1.8,2022,0,False,0.47,F,65.4,7.9,,F,False
Naji Marshall,NOP,24,55,23,32,13.4,5.7,4.9,40.5,1.9,20.0,1.7,79.6,0.7,1.9,2.6,1.1,0.8,0.6,0.1,1.3,11.9,1,0,-0.9,2022,0,False,0.42,F,59.8,0.3,,F,False
Keita Bates-Diop,SAS,26,59,23,36,16.2,5.7,4.5,51.7,0.9,30.9,1.0,75.4,1.1,2.9,3.9,0.7,0.8,0.5,0.2,1.0,12.7,1,0,0.1,2022,0,False,0.39,F,55.7,-1.8,,F,False
Keifer Sykes,IND,28,32,6,26,17.7,5.6,5.9,36.3,2.8,30.0,0.5,88.2,0.3,1.2,1.4,1.9,1.0,0.4,0.1,1.6,10.7,0,0,-2.2,2022,0,False,0.19,G,56.3,1.3,,G,False
Saben Lee,DET,22,37,8,29,16.3,5.6,4.8,39.0,1.6,23.3,1.9,78.9,0.5,1.9,2.4,2.9,1.0,1.0,0.3,1.2,15.7,1,0,-2.2,2022,0,False,0.22,G,65.1,7.6,,G,False
Derrick Jones Jr.,CHI,25,51,28,23,17.6,5.6,3.8,53.8,1.2,32.8,1.4,80.0,1.2,2.1,3.3,0.6,0.6,0.5,0.6,2.1,13.3,0,0,0.8,2022,0,False,0.55,F,54.3,-5.4,,F,False
Dennis Smith Jr.,POR,24,37,15,22,17.3,5.6,5.1,41.8,0.7,22.2,1.7,65.6,0.5,1.8,2.4,3.6,1.4,1.2,0.3,1.4,17.0,0,0,-3.7,2022,0,False,0.41,G,55.8,-1.5,,G,False
Davis Bertans,DAL,29,56,32,24,14.4,5.6,4.9,36.0,4.1,33.5,0.7,90.0,0.2,1.9,2.1,0.6,0.3,0.3,0.2,1.5,10.1,0,0,0.5,2022,0,False,0.57,F,55.8,-1.9,,F,False
James Johnson,BKN,35,62,30,32,19.2,5.5,5.0,46.9,1.4,27.1,0.9,52.7,0.8,2.6,3.5,2.1,0.8,0.5,0.5,2.6,15.1,1,0,-1.0,2022,0,False,0.48,F,51.0,-7.9,,F,False
Greg Monroe,MIN,31,14,7,7,13.9,5.4,4.1,56.1,0.0,0.0,1.6,52.2,2.1,2.4,4.6,1.6,0.9,0.6,0.7,1.7,16.3,0,0,0.4,2022,0,False,0.5,F-C,62.3,2.6,,F-C,False
Wenyen Gabriel,LAL,25,26,8,18,13.8,5.4,4.2,49.1,1.1,28.6,1.6,59.5,1.5,2.2,3.7,0.5,0.6,0.2,0.4,2.6,11.9,1,0,1.7,2022,0,False,0.31,F,60.0,3.2,,F,False
P.J. Dozier,DEN,25,18,9,9,18.9,5.4,5.5,36.4,2.7,31.3,0.7,76.9,0.8,2.7,3.5,1.6,0.7,0.6,0.3,1.8,14.1,0,0,-5.0,2022,0,False,0.5,G-F,52.7,-6.9,,G-F,False
Trey Murphy III,NOP,21,62,31,31,13.9,5.4,4.5,39.4,3.0,38.2,0.8,88.2,0.8,1.6,2.4,0.6,0.3,0.4,0.1,1.0,10.3,0,0,0.0,2022,0,False,0.5,F,57.6,-0.6,,F,False
Rodney McGruder,DET,30,51,13,38,14.8,5.4,4.4,43.6,2.9,39.7,0.5,73.1,0.6,1.6,2.2,0.9,0.5,0.4,0.1,1.1,10.6,0,0,-1.1,2022,0,False,0.25,G,53.7,-4.5,,G,False
D.J. Augustin,LAL,34,55,15,40,16.1,5.3,4.0,42.3,3.0,41.5,0.8,88.4,0.2,1.0,1.2,1.9,1.0,0.3,0.0,0.7,9.7,0,0,-3.2,2022,0,False,0.27,G,74.5,17.6,,G,False
Omer Yurtseven,MIA,23,56,39,17,12.6,5.3,4.4,52.6,0.2,9.1,1.1,62.3,1.5,3.7,5.3,0.9,0.7,0.3,0.4,1.5,14.2,8,0,1.1,2022,0,False,0.7,C,55.0,-4.6,,C,False
Armoni Brooks,TOR,23,54,20,34,15.6,5.3,5.4,33.9,4.6,29.7,0.4,85.7,0.4,1.5,1.9,1.1,0.5,0.5,0.2,1.4,11.0,0,0,-1.5,2022,0,False,0.37,G,58.1,0.0,,G,False
Derrick Favors,OKC,30,39,15,24,16.7,5.3,4.7,51.6,0.4,12.5,0.6,64.0,1.5,3.2,4.7,0.6,0.2,0.4,0.3,1.6,13.9,1,0,-3.7,2022,0,False,0.38,F,56.7,-3.4,,F,False
Dean Wade,CLE,25,51,27,24,19.2,5.3,4.3,45.6,2.8,35.9,0.6,66.7,0.6,2.3,2.9,1.0,0.3,0.6,0.1,1.7,12.1,1,0,0.7,2022,0,False,0.53,F-C,49.5,-8.8,,F-C,False
Garrett Temple,NOP,35,59,23,36,18.6,5.2,5.0,37.6,3.1,31.9,0.7,68.3,0.5,1.9,2.4,1.3,0.7,0.7,0.4,1.4,12.7,0,0,-5.5,2022,0,False,0.39,G-F,56.9,-1.5,,G-F,False
Cody Zeller,POR,29,27,13,14,13.1,5.2,3.3,56.7,0.1,0.0,1.8,77.6,1.9,2.8,4.6,0.8,0.7,0.3,0.2,2.1,12.8,0,0,-1.0,2022,0,False,0.48,F-C,62.1,1.6,,F-C,False
Facundo Campazzo,DEN,31,65,38,27,18.2,5.1,4.6,36.1,3.0,30.1,1.2,76.9,0.4,1.4,1.8,3.4,1.0,1.0,0.4,1.9,15.3,2,0,-3.3,2022,0,False,0.58,G,55.2,-0.6,,G,False
Trey Burke,DAL,29,42,24,18,10.5,5.1,5.1,39.1,2.0,31.7,0.5,87.0,0.1,0.7,0.8,1.4,0.6,0.3,0.0,0.9,8.3,0,0,-0.2,2022,0,False,0.57,G,58.5,1.7,,G,False
Wesley Matthews,MIL,35,49,33,16,20.5,5.1,4.5,39.5,3.2,33.8,0.6,78.6,0.6,1.3,1.9,0.7,0.4,0.5,0.2,1.8,10.0,0,0,2.8,2022,0,False,0.67,G,59.2,0.2,,G,False
DeAndre' Bembry,MIL,27,56,31,25,18.3,5.1,3.9,56.1,0.6,41.7,0.6,60.0,0.8,2.2,2.9,1.2,0.6,0.9,0.4,2.0,13.7,0,0,-0.5,2022,0,False,0.55,G-F,53.3,-4.5,,G-F,False
David Nwaba,HOU,29,46,6,40,13.2,5.1,3.8,48.3,1.1,30.6,1.5,71.6,0.9,2.4,3.3,0.8,0.5,0.6,0.4,1.2,12.8,0,0,-2.5,2022,0,False,0.13,G-F,57.9,-1.1,,G-F,False
Ignas Brazdeikis,ORL,23,42,9,33,12.8,5.0,4.5,43.1,2.1,31.0,0.8,65.6,0.5,1.2,1.7,0.9,0.4,0.2,0.1,1.1,8.9,0,0,-4.1,2022,0,False,0.21,F,47.7,-10.0,,F,False
Jock Landale,SAS,26,54,24,30,10.9,4.9,3.8,49.5,1.6,32.6,0.8,82.9,1.2,1.4,2.6,0.8,0.6,0.2,0.3,1.0,10.0,1,0,-0.3,2022,0,False,0.44,C,49.4,-9.3,,C,False
John Konchar,MEM,26,72,48,24,17.9,4.8,3.6,51.5,1.8,41.3,0.7,55.1,1.2,3.4,4.6,1.5,0.4,0.6,0.3,1.3,15.0,3,1,1.3,2022,0,False,0.67,G,56.5,-2.1,,G,False
Rajon Rondo,CLE,36,39,16,23,17.9,4.8,4.5,38.6,2.3,35.2,0.7,73.1,0.4,2.4,2.8,4.4,1.7,0.8,0.2,1.4,15.7,1,0,-2.8,2022,1,False,0.41,G,61.3,3.5,,G,False
Josh Green,DAL,21,67,44,23,15.5,4.8,3.8,50.8,1.2,35.9,0.7,68.9,0.8,1.6,2.4,1.2,0.7,0.7,0.2,1.7,11.4,1,0,1.0,2022,0,False,0.66,G,59.3,2.8,,G,False
Xavier Tillman,MEM,23,53,35,18,13.2,4.8,4.1,45.4,0.9,20.4,1.3,64.8,1.2,1.8,3.0,1.2,0.6,0.9,0.3,1.2,13.1,0,0,-0.5,2022,0,False,0.66,F,52.9,-6.4,,F,False
Brandon Goodwin,CLE,26,36,19,17,13.9,4.8,4.3,41.6,1.5,34.5,1.1,63.2,0.4,1.5,1.9,2.5,1.0,0.7,0.0,1.1,11.9,1,0,-1.5,2022,0,False,0.53,G,53.2,-3.0,,G,False
David Duke Jr.,BKN,22,22,10,12,15.5,4.7,4.9,36.1,1.7,24.3,1.0,81.0,1.4,1.7,3.0,0.8,0.4,0.6,0.3,1.6,12.0,2,0,-0.5,2022,0,False,0.45,G,57.4,-0.3,,G,False
Udoka Azubuike,UTA,22,17,11,6,11.5,4.7,2.9,75.5,0.0,0.0,0.6,54.5,1.1,3.1,4.2,0.0,0.7,0.1,0.6,1.5,11.1,1,0,0.2,2022,0,False,0.65,C-F,47.9,-12.6,,C-F,False
Greg Brown III,POR,20,48,14,34,13.3,4.7,4.0,42.6,1.3,31.1,1.4,67.7,0.8,2.0,2.8,0.7,0.8,0.5,0.5,1.9,11.5,0,0,-5.0,2022,0,False,0.29,F,67.7,9.1,,F,False
Cameron McGriff,POR,24,3,0,3,15.3,4.7,4.7,35.7,2.0,33.3,0.7,100.0,2.0,3.0,5.0,1.0,0.0,0.0,0.3,2.3,13.2,0,0,2.7,2022,0,False,0.0,F,50.0,-10.7,,F,False
Maurice Harkless,SAC,28,47,15,32,18.4,4.6,3.9,45.9,2.1,30.7,0.6,71.4,0.3,2.1,2.4,0.5,0.7,0.6,0.5,1.6,10.9,1,0,-1.9,2022,0,False,0.32,F-G,63.5,4.8,,F-G,False
James Bouknight,CHA,21,31,15,16,9.8,4.6,4.5,34.8,1.6,34.7,1.0,87.1,0.7,1.0,1.7,0.8,0.5,0.2,0.0,0.9,8.1,0,0,-1.6,2022,0,False,0.48,G,70.9,16.1,,G,False
Svi Mykhailiuk,TOR,24,56,29,27,12.8,4.6,4.2,38.9,2.4,30.6,0.7,86.5,0.4,1.3,1.6,0.8,0.6,0.5,0.1,1.0,8.8,0,0,-1.4,2022,0,False,0.52,G-F,53.6,-4.9,,G-F,False
Romeo Langford,SAS,22,48,24,24,16.1,4.5,4.0,43.5,1.8,34.1,0.9,54.8,0.6,1.6,2.3,0.4,0.3,0.5,0.3,1.0,9.9,0,0,0.1,2022,0,False,0.5,G-F,43.8,-12.6,,G-F,False
Marquese Chriss,DAL,24,34,24,10,10.2,4.5,3.9,46.3,0.7,32.0,1.0,66.7,1.0,2.1,3.0,0.5,0.5,0.4,0.4,1.9,10.6,0,0,-0.3,2022,0,False,0.71,F,62.6,5.0,,F,False
Louis King,SAC,23,10,2,8,10.4,4.5,4.7,31.9,2.7,29.6,1.0,70.0,0.0,1.2,1.2,0.9,0.0,0.2,0.1,1.4,8.2,0,0,-2.9,2022,0,False,0.2,F,48.1,-9.4,,F,False
Khem Birch,TOR,29,55,34,21,18.0,4.5,3.6,48.5,0.3,0.0,1.3,74.6,2.2,2.1,4.3,1.0,0.5,0.5,0.5,1.9,13.8,0,0,0.4,2022,0,False,0.62,C,60.9,1.9,,C,False
Delon Wright,ATL,30,77,42,35,18.9,4.4,3.5,45.4,1.5,37.9,0.8,85.7,0.6,2.2,2.9,2.4,0.6,1.2,0.2,0.7,15.3,0,0,0.8,2022,0,False,0.55,G,60.1,3.5,,G,False
Jabari Parker,BOS,27,12,4,8,9.4,4.4,3.2,47.4,1.3,50.0,0.8,100.0,0.4,1.9,2.3,0.5,0.7,0.3,0.1,1.1,8.6,0,0,-0.6,2022,0,False,0.33,F,59.3,-2.1,,F,False
Taj Gibson,NYK,36,52,24,28,18.2,4.4,3.2,51.8,0.7,39.5,1.0,80.8,1.7,2.7,4.4,0.6,0.5,0.4,0.8,2.6,13.7,0,0,0.8,2022,0,False,0.46,F,56.8,-1.9,,F,False
Moses Moody,GSW,19,52,35,17,11.7,4.4,3.5,43.7,2.1,36.4,0.7,77.8,0.3,1.2,1.5,0.4,0.3,0.1,0.2,0.8,7.6,0,0,-0.8,2022,0,False,0.67,G,51.2,-6.8,,G,False
Timothe Luwawu-Cabarrot,ATL,26,52,30,22,13.2,4.4,3.6,39.8,2.3,36.1,0.8,85.4,0.3,1.3,1.6,0.8,0.4,0.3,0.1,1.5,8.4,0,0,-1.0,2022,0,False,0.58,G-F,54.8,-2.8,,G-F,False
Davon Reed,DEN,26,48,29,19,13.9,4.4,3.4,50.3,1.8,43.0,0.3,66.7,0.3,2.0,2.3,1.1,0.3,0.5,0.2,1.3,10.4,0,0,-0.5,2022,0,False,0.6,G,62.4,4.5,,G,False
Mamadi Diakite,OKC,25,13,4,9,14.4,4.3,3.6,53.2,0.4,0.0,0.8,54.5,1.3,3.2,4.5,0.2,0.5,0.4,0.7,2.5,12.7,0,0,-1.1,2022,0,False,0.31,F,62.1,1.4,,F,False
Trevelin Queen,HOU,25,10,1,9,7.4,4.3,3.3,45.5,2.4,37.5,0.4,100.0,0.7,0.9,1.6,0.4,0.7,0.5,0.1,0.6,7.9,0,0,0.8,2022,0,False,0.1,G,70.0,17.0,,G,False
Malachi Flynn,TOR,23,44,25,19,12.2,4.3,4.2,39.3,2.0,33.3,0.5,62.5,0.2,1.2,1.4,1.6,0.3,0.5,0.1,1.0,9.7,0,0,-0.6,2022,0,False,0.57,G,54.2,-3.3,,G,False
DeAndre Jordan,PHI,33,48,26,22,13.0,4.3,3.0,64.3,0.0,0.0,0.8,55.0,1.7,3.8,5.5,0.4,0.8,0.3,0.7,1.5,13.7,0,0,-3.1,2022,3,False,0.54,C,58.0,-0.3,,C,False
Yuta Watanabe,TOR,27,38,21,17,11.7,4.3,3.6,40.6,2.1,34.2,1.1,60.0,0.5,1.9,2.4,0.6,0.5,0.3,0.4,1.0,9.7,2,0,-1.4,2022,0,False,0.55,G-F,48.4,-9.0,,G-F,False
Troy Brown Jr.,CHI,22,66,37,29,16.0,4.3,3.9,41.9,2.0,35.3,0.4,76.9,0.6,2.5,3.1,1.0,0.4,0.5,0.1,0.9,10.9,1,0,-0.7,2022,0,False,0.56,G-F,58.3,2.1,,G-F,False
Moses Brown,CLE,22,40,19,21,8.6,4.3,2.7,59.3,0.0,0.0,1.8,59.7,1.0,2.4,3.4,0.0,0.5,0.2,0.4,1.3,9.6,3,0,-1.2,2022,0,False,0.48,C,53.9,-6.5,,C,False
Boban Marjanovic,DAL,33,23,15,8,5.6,4.3,3.0,60.0,0.2,25.0,1.0,59.1,0.3,1.3,1.7,0.1,0.7,0.0,0.1,1.0,6.2,0,0,1.5,2022,0,False,0.65,C,55.6,-1.8,,C,False
Lindell Wigginton,MIL,24,19,11,8,10.5,4.2,3.2,42.6,1.4,34.6,1.8,54.3,0.2,1.2,1.3,1.2,0.6,0.3,0.1,0.9,7.9,0,0,-2.5,2022,0,False,0.58,G,69.0,12.1,,G,False
Rayjon Tucker,MIL,24,5,2,3,14.2,4.2,1.8,66.7,1.0,80.0,1.4,71.4,0.6,1.0,1.6,2.0,0.2,0.8,0.0,1.0,11.3,0,0,-0.4,2022,0,False,0.4,G,100.0,42.9,,G,False
Jevon Carter,MIL,26,66,39,27,13.7,4.2,3.8,38.7,2.6,38.8,0.3,83.3,0.2,1.5,1.7,1.5,0.5,0.4,0.2,1.0,9.6,0,0,-0.8,2022,0,False,0.59,G,60.3,3.8,,G,False
Sam Merrill,MEM,25,6,2,4,9.6,4.2,4.0,33.3,3.8,30.4,0.7,50.0,0.2,1.0,1.2,0.7,0.3,0.0,0.0,0.5,6.2,0,0,-1.5,2022,0,False,0.33,G,66.7,8.5,,G,False
James Ennis III,DEN,31,7,3,4,7.9,4.1,3.4,45.8,1.1,37.5,0.7,80.0,0.7,1.0,1.7,0.4,0.3,0.3,0.3,0.7,8.3,0,0,0.0,2022,0,False,0.43,F,44.4,-13.6,,F,False
Frank Ntilikina,DAL,23,58,34,24,11.8,4.1,3.8,39.9,1.9,34.2,0.4,96.0,0.2,1.2,1.4,1.2,0.5,0.5,0.1,1.1,8.8,0,0,1.1,2022,0,False,0.59,G,50.8,-7.4,,G,False
Vlatko Cancar,DEN,25,15,7,8,11.8,4.1,2.7,56.1,0.8,58.3,0.9,64.3,0.5,1.5,2.1,1.1,0.6,0.1,0.2,1.2,8.7,0,0,0.3,2022,0,False,0.47,F,57.1,-0.9,,F,False
Santi Aldama,MEM,21,32,20,12,11.2,4.1,4.1,40.2,1.5,12.5,1.0,62.5,1.0,1.7,2.7,0.7,0.5,0.2,0.3,1.1,9.4,2,0,0.5,2022,0,False,0.62,F-C,56.5,-2.1,,F-C,False
Anthony Gill,WAS,29,44,15,29,10.5,4.1,2.5,56.9,0.6,53.8,1.2,80.8,0.8,1.2,1.9,0.6,0.4,0.1,0.3,1.3,8.0,0,0,1.4,2022,0,False,0.34,F,47.8,-10.0,,F,False
Juan Toscano-Anderson,GSW,29,73,51,22,13.6,4.1,3.2,48.9,1.2,32.2,1.0,57.1,0.4,2.0,2.4,1.7,0.9,0.7,0.2,1.6,11.3,0,0,0.6,2022,0,False,0.7,F,56.3,-2.1,,F,False
Markus Howard,DEN,23,31,17,14,5.7,4.1,3.3,38.6,2.3,40.0,0.7,87.0,0.1,0.3,0.4,0.2,0.2,0.3,0.0,0.5,5.5,0,0,-0.4,2022,0,False,0.55,G,77.8,22.9,,G,False
Mychal Mulder,MIA,27,17,3,14,14.1,4.1,4.5,31.2,3.2,31.5,0.2,100.0,0.1,1.3,1.4,0.3,0.5,0.2,0.1,0.8,6.8,0,0,-3.2,2022,0,False,0.18,G,51.9,-4.6,,G,False
Matt Thomas,CHI,27,40,23,17,11.5,4.0,3.4,41.0,2.3,38.5,0.5,80.0,0.1,1.2,1.3,0.5,0.2,0.2,0.1,0.5,6.9,0,0,0.8,2022,0,False,0.57,G,50.6,-6.8,,G,False
Andre Iguodala,GSW,38,31,20,11,19.4,4.0,3.9,38.0,2.4,23.0,0.6,75.0,0.7,2.5,3.2,3.7,0.9,0.9,0.7,1.1,17.2,0,0,3.7,2022,0,False,0.65,G-F,53.3,-4.7,,G-F,False
Gabe York,IND,28,2,0,2,10.7,4.0,3.5,28.6,3.0,16.7,2.5,60.0,0.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,12.2,0,0,-2.0,2022,0,False,0.0,G,50.0,-6.3,,G,False
Mac McClung,LAL,23,2,2,0,12.2,4.0,3.0,50.0,1.5,33.3,0.5,100.0,0.0,1.5,1.5,0.5,1.5,0.5,0.5,2.5,8.1,0,0,3.5,2022,0,False,1.0,G,85.7,28.8,,G,False
Micah Potter,DET,24,3,2,1,10.3,4.0,3.7,45.5,0.7,0.0,0.7,100.0,1.3,1.7,3.0,0.0,0.3,0.3,0.3,1.3,9.3,0,0,-13.3,2022,0,False,0.67,C,55.6,-5.7,,C,False
Scotty Hopson,OKC,32,1,0,1,17.7,4.0,4.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.7,0,0,-6.0,2022,0,False,0.0,G-F,0.0,-46.0,,G-F,False
Trevor Ariza,LAL,36,24,8,16,19.3,4.0,4.1,33.3,3.1,27.0,0.8,55.6,0.4,3.0,3.4,1.1,0.5,0.5,0.3,0.8,11.7,0,0,-2.3,2022,0,False,0.33,F,64.3,4.4,,F,False
Kyle Guy,MIA,24,19,15,4,9.8,3.9,3.4,40.0,2.1,35.0,0.6,66.7,0.2,0.7,0.9,0.9,0.7,0.4,0.1,0.6,6.9,0,0,-2.5,2022,0,False,0.79,G,66.7,5.3,,G,False
Didi Louzada,POR,22,9,0,9,14.4,3.9,3.7,36.4,2.6,39.1,0.2,100.0,0.6,1.3,1.9,0.6,0.6,0.2,0.2,1.4,7.8,0,0,-9.0,2022,0,False,0.0,G,61.1,0.3,,G,False
Jamorko Pickett,DET,24,13,4,9,13.6,3.8,3.8,36.0,3.0,33.3,0.2,50.0,0.5,2.0,2.5,0.5,0.4,0.0,0.5,0.9,8.8,0,0,0.0,2022,0,False,0.31,F,61.9,2.7,,F,False
Admiral Schofield,ORL,25,38,10,28,12.3,3.8,3.4,41.9,2.1,32.9,0.4,80.0,0.4,1.9,2.3,0.7,0.6,0.1,0.1,1.5,7.8,0,0,-3.4,2022,0,False,0.26,F,50.6,-8.6,,F,False
Jared Butler,UTA,21,42,31,11,8.6,3.8,3.6,40.4,2.1,31.8,0.4,68.8,0.1,1.0,1.1,1.5,0.8,0.4,0.2,1.1,8.4,0,0,-0.3,2022,0,False,0.74,G,52.9,-4.7,,G,False
Malcolm Hill,CHI,26,19,8,11,11.2,3.8,2.7,46.2,1.9,36.1,0.7,78.6,0.6,1.3,1.8,0.4,0.2,0.4,0.2,1.3,8.1,0,0,-1.6,2022,0,False,0.42,F,66.7,9.3,,F,False
Aaron Nesmith,BOS,22,52,32,20,11.0,3.8,3.5,39.6,2.2,27.0,0.5,80.8,0.3,1.4,1.7,0.4,0.6,0.4,0.1,1.3,7.3,0,0,0.4,2022,0,False,0.62,G-F,59.4,4.2,,G-F,False
Jordan McLaughlin,MIN,26,62,36,26,14.5,3.8,3.2,44.0,1.4,31.8,0.6,75.0,0.4,1.2,1.5,2.9,0.6,0.9,0.2,0.9,12.6,1,0,0.6,2022,0,False,0.58,G,55.0,-1.6,,G,False
Sandro Mamukelashvili,MIL,22,41,22,19,9.9,3.8,2.8,49.6,1.3,42.3,0.5,81.8,0.9,1.1,2.0,0.5,0.4,0.2,0.2,0.7,7.9,1,0,-3.5,2022,0,False,0.54,F-C,70.7,10.9,,F-C,False
Nathan Knight,MIN,24,37,22,15,7.2,3.7,2.4,51.1,0.4,30.8,1.6,73.3,0.9,1.4,2.3,0.6,0.5,0.2,0.2,1.1,8.1,1,0,0.6,2022,0,False,0.59,F-C,52.3,-6.9,,F-C,False
